Metric,Core 0,,,,
Runtime (RDTSC) [s],2.2529,,,,
Runtime unhalted [s],2.7654,,,,
Clock [MHz],3197.8498,,,,
CPI,0.6413,,,,
L2 to L1 load bandwidth [MBytes/s],22396.0798,,,,
L2 to L1 load data volume [GBytes],50.4572,,,,
L1 to L2 evict bandwidth [MBytes/s],21.4218,,,,
L1 to L2 evict data volume [GBytes],0.0483,,,,
L1 to/from L2 bandwidth [MBytes/s],22417.5016,,,,
L1 to/from L2 data volume [GBytes],50.5055,,,,
L3 to L2 load bandwidth [MBytes/s],22391.3813,,,,
L3 to L2 load data volume [GBytes],50.4467,,,,
L2 to L3 evict bandwidth [MBytes/s],1.8807,,,,
L2 to L3 evict data volume [GBytes],0.0042,,,,
L2 to/from L3 bandwidth [MBytes/s],22393.2620,,,,
L2 to/from L3 data volume [GBytes],50.4509,,,,
System to L3 bandwidth [MBytes/s],22407.4180,,,,
System to L3 data volume [GBytes],50.4828,,,,
L3 to system bandwidth [MBytes/s],26.5490,,,,
L3 to system data volume [GBytes],0.0598,,,,
L3 to/from system bandwidth [MBytes/s],22433.9670,,,,
L3 to/from system data volume [GBytes],50.5426,,,,
Memory read bandwidth [MBytes/s],48.4684,,,,
Memory read data volume [GBytes],0.1092,,,,
Memory write bandwidth [MBytes/s],33.3272,,,,
Memory write data volume [GBytes],0.0751,,,,
Memory bandwidth [MBytes/s],81.7957,,,,
Memory data volume [GBytes],0.1843,,,,
