Metric,Core 0,,,,
Runtime (RDTSC) [s],0.6253,,,,
Runtime unhalted [s],0.6211,,,,
Clock [MHz],2599.9924,,,,
CPI,0.6587,,,,
L2 to L1 load bandwidth [MBytes/s],17445.2266,,,,
L2 to L1 load data volume [GBytes],10.9093,,,,
L1 to L2 evict bandwidth [MBytes/s],30.1000,,,,
L1 to L2 evict data volume [GBytes],0.0188,,,,
L1 to/from L2 bandwidth [MBytes/s],17475.3266,,,,
L1 to/from L2 data volume [GBytes],10.9281,,,,
L3 to L2 load bandwidth [MBytes/s],17447.6522,,,,
L3 to L2 load data volume [GBytes],10.9108,,,,
L2 to L3 evict bandwidth [MBytes/s],6.1554,,,,
L2 to L3 evict data volume [GBytes],0.0038,,,,
L2 to/from L3 bandwidth [MBytes/s],17453.8075,,,,
L2 to/from L3 data volume [GBytes],10.9146,,,,
System to L3 bandwidth [MBytes/s],17615.4874,,,,
System to L3 data volume [GBytes],11.0158,,,,
L3 to system bandwidth [MBytes/s],2.9046,,,,
L3 to system data volume [GBytes],0.0018,,,,
L3 to/from system bandwidth [MBytes/s],17618.3920,,,,
L3 to/from system data volume [GBytes],11.0176,,,,
Memory read bandwidth [MBytes/s],12.3123,,,,
Memory read data volume [GBytes],0.0077,,,,
Memory write bandwidth [MBytes/s],9.7627,,,,
Memory write data volume [GBytes],0.0061,,,,
Memory bandwidth [MBytes/s],22.0750,,,,
Memory data volume [GBytes],0.0138,,,,
