Metric,Core 0,,,,
Runtime (RDTSC) [s],4.4626,,,,
Runtime unhalted [s],5.4784,,,,
Clock [MHz],3198.0372,,,,
CPI,0.7374,,,,
L2 to L1 load bandwidth [MBytes/s],19533.2695,,,,
L2 to L1 load data volume [GBytes],87.1682,,,,
L1 to L2 evict bandwidth [MBytes/s],17.9427,,,,
L1 to L2 evict data volume [GBytes],0.0801,,,,
L1 to/from L2 bandwidth [MBytes/s],19551.2122,,,,
L1 to/from L2 data volume [GBytes],87.2483,,,,
L3 to L2 load bandwidth [MBytes/s],19531.3047,,,,
L3 to L2 load data volume [GBytes],87.1594,,,,
L2 to L3 evict bandwidth [MBytes/s],2.3436,,,,
L2 to L3 evict data volume [GBytes],0.0105,,,,
L2 to/from L3 bandwidth [MBytes/s],19533.6484,,,,
L2 to/from L3 data volume [GBytes],87.1699,,,,
System to L3 bandwidth [MBytes/s],19545.9934,,,,
System to L3 data volume [GBytes],87.2250,,,,
L3 to system bandwidth [MBytes/s],18.8568,,,,
L3 to system data volume [GBytes],0.0841,,,,
L3 to/from system bandwidth [MBytes/s],19564.8502,,,,
L3 to/from system data volume [GBytes],87.3091,,,,
Memory read bandwidth [MBytes/s],40.3429,,,,
Memory read data volume [GBytes],0.1800,,,,
Memory write bandwidth [MBytes/s],25.6788,,,,
Memory write data volume [GBytes],0.1146,,,,
Memory bandwidth [MBytes/s],66.0218,,,,
Memory data volume [GBytes],0.2946,,,,
