Metric,Core 0,,,,
Runtime (RDTSC) [s],89.6513,,,,
Runtime unhalted [s],109.9111,,,,
Clock [MHz],3196.9076,,,,
CPI,1.4664,,,,
L2 to L1 load bandwidth [MBytes/s],19842.5316,,,,
L2 to L1 load data volume [GBytes],1778.9082,,,,
L1 to L2 evict bandwidth [MBytes/s],9889.5625,,,,
L1 to L2 evict data volume [GBytes],886.6118,,,,
L1 to/from L2 bandwidth [MBytes/s],29732.0941,,,,
L1 to/from L2 data volume [GBytes],2665.5200,,,,
L3 to L2 load bandwidth [MBytes/s],9797.2225,,,,
L3 to L2 load data volume [GBytes],878.3334,,,,
L2 to L3 evict bandwidth [MBytes/s],4.2922,,,,
L2 to L3 evict data volume [GBytes],0.3848,,,,
L2 to/from L3 bandwidth [MBytes/s],9801.5147,,,,
L2 to/from L3 data volume [GBytes],878.7182,,,,
System to L3 bandwidth [MBytes/s],9952.6436,,,,
System to L3 data volume [GBytes],892.2671,,,,
L3 to system bandwidth [MBytes/s],5.7679,,,,
L3 to system data volume [GBytes],0.5171,,,,
L3 to/from system bandwidth [MBytes/s],9958.4114,,,,
L3 to/from system data volume [GBytes],892.7842,,,,
Memory read bandwidth [MBytes/s],9898.8308,,,,
Memory read data volume [GBytes],887.4428,,,,
Memory write bandwidth [MBytes/s],12.3244,,,,
Memory write data volume [GBytes],1.1049,,,,
Memory bandwidth [MBytes/s],9911.1552,,,,
Memory data volume [GBytes],888.5477,,,,
