Metric,Core 0,,,,
Runtime (RDTSC) [s],0.0340,,,,
Runtime unhalted [s],0.0276,,,,
Clock [MHz],2120.7581,,,,
CPI,0.7448,,,,
L2 to L1 load bandwidth [MBytes/s],11852.9856,,,,
L2 to L1 load data volume [GBytes],0.4035,,,,
L1 to L2 evict bandwidth [MBytes/s],48.5525,,,,
L1 to L2 evict data volume [GBytes],0.0017,,,,
L1 to/from L2 bandwidth [MBytes/s],11901.5381,,,,
L1 to/from L2 data volume [GBytes],0.4052,,,,
L3 to L2 load bandwidth [MBytes/s],10630.0514,,,,
L3 to L2 load data volume [GBytes],0.3619,,,,
L2 to L3 evict bandwidth [MBytes/s],7.4184,,,,
L2 to L3 evict data volume [GBytes],0.0003,,,,
L2 to/from L3 bandwidth [MBytes/s],10637.4699,,,,
L2 to/from L3 data volume [GBytes],0.3621,,,,
System to L3 bandwidth [MBytes/s],10653.4855,,,,
System to L3 data volume [GBytes],0.3627,,,,
L3 to system bandwidth [MBytes/s],0.7332,,,,
L3 to system data volume [GBytes],2.496000e-05,,,,
L3 to/from system bandwidth [MBytes/s],10654.2187,,,,
L3 to/from system data volume [GBytes],0.3627,,,,
Memory read bandwidth [MBytes/s],10.1651,,,,
Memory read data volume [GBytes],0.0003,,,,
Memory write bandwidth [MBytes/s],7.9016,,,,
Memory write data volume [GBytes],0.0003,,,,
Memory bandwidth [MBytes/s],18.0667,,,,
Memory data volume [GBytes],0.0006,,,,
