Metric,Core 0,,,,
Runtime (RDTSC) [s],14.3219,,,,
Runtime unhalted [s],17.5532,,,,
Clock [MHz],3197.0363,,,,
CPI,1.0005,,,,
L2 to L1 load bandwidth [MBytes/s],15046.8737,,,,
L2 to L1 load data volume [GBytes],215.4995,,,,
L1 to L2 evict bandwidth [MBytes/s],426.7009,,,,
L1 to L2 evict data volume [GBytes],6.1112,,,,
L1 to/from L2 bandwidth [MBytes/s],15473.5746,,,,
L1 to/from L2 data volume [GBytes],221.6107,,,,
L3 to L2 load bandwidth [MBytes/s],14611.4761,,,,
L3 to L2 load data volume [GBytes],209.2638,,,,
L2 to L3 evict bandwidth [MBytes/s],28.2346,,,,
L2 to L3 evict data volume [GBytes],0.4044,,,,
L2 to/from L3 bandwidth [MBytes/s],14639.7108,,,,
L2 to/from L3 data volume [GBytes],209.6682,,,,
System to L3 bandwidth [MBytes/s],14625.2746,,,,
System to L3 data volume [GBytes],209.4614,,,,
L3 to system bandwidth [MBytes/s],12.0078,,,,
L3 to system data volume [GBytes],0.1720,,,,
L3 to/from system bandwidth [MBytes/s],14637.2824,,,,
L3 to/from system data volume [GBytes],209.6334,,,,
Memory read bandwidth [MBytes/s],3077.5593,,,,
Memory read data volume [GBytes],44.0764,,,,
Memory write bandwidth [MBytes/s],18.5803,,,,
Memory write data volume [GBytes],0.2661,,,,
Memory bandwidth [MBytes/s],3096.1396,,,,
Memory data volume [GBytes],44.3425,,,,
