Metric,Core 0,,,,
Runtime (RDTSC) [s],25.1811,,,,
Runtime unhalted [s],30.8608,,,,
Clock [MHz],3197.2091,,,,
CPI,1.2370,,,,
L2 to L1 load bandwidth [MBytes/s],19031.8383,,,,
L2 to L1 load data volume [GBytes],479.2426,,,,
L1 to L2 evict bandwidth [MBytes/s],7232.8507,,,,
L1 to L2 evict data volume [GBytes],182.1311,,,,
L1 to/from L2 bandwidth [MBytes/s],26264.6890,,,,
L1 to/from L2 data volume [GBytes],661.3738,,,,
L3 to L2 load bandwidth [MBytes/s],11797.4932,,,,
L3 to L2 load data volume [GBytes],297.0739,,,,
L2 to L3 evict bandwidth [MBytes/s],79.9779,,,,
L2 to L3 evict data volume [GBytes],2.0139,,,,
L2 to/from L3 bandwidth [MBytes/s],11877.4711,,,,
L2 to/from L3 data volume [GBytes],299.0878,,,,
System to L3 bandwidth [MBytes/s],11870.5252,,,,
System to L3 data volume [GBytes],298.9129,,,,
L3 to system bandwidth [MBytes/s],8.9814,,,,
L3 to system data volume [GBytes],0.2262,,,,
L3 to/from system bandwidth [MBytes/s],11879.5066,,,,
L3 to/from system data volume [GBytes],299.1390,,,,
Memory read bandwidth [MBytes/s],7979.7357,,,,
Memory read data volume [GBytes],200.9385,,,,
Memory write bandwidth [MBytes/s],15.5258,,,,
Memory write data volume [GBytes],0.3910,,,,
Memory bandwidth [MBytes/s],7995.2615,,,,
Memory data volume [GBytes],201.3295,,,,
