Metric,Core 0,,,,
Runtime (RDTSC) [s],166.3730,,,,
Runtime unhalted [s],203.6778,,,,
Clock [MHz],3197.1345,,,,
CPI,1.4595,,,,
L2 to L1 load bandwidth [MBytes/s],19921.7594,,,,
L2 to L1 load data volume [GBytes],3314.4429,,,,
L1 to L2 evict bandwidth [MBytes/s],9932.1808,,,,
L1 to L2 evict data volume [GBytes],1652.4467,,,,
L1 to/from L2 bandwidth [MBytes/s],29853.9402,,,,
L1 to/from L2 data volume [GBytes],4966.8896,,,,
L3 to L2 load bandwidth [MBytes/s],9857.4456,,,,
L3 to L2 load data volume [GBytes],1640.0128,,,,
L2 to L3 evict bandwidth [MBytes/s],3.9381,,,,
L2 to L3 evict data volume [GBytes],0.6552,,,,
L2 to/from L3 bandwidth [MBytes/s],9861.3838,,,,
L2 to/from L3 data volume [GBytes],1640.6680,,,,
System to L3 bandwidth [MBytes/s],10024.6797,,,,
System to L3 data volume [GBytes],1667.8360,,,,
L3 to system bandwidth [MBytes/s],8.7621,,,,
L3 to system data volume [GBytes],1.4578,,,,
L3 to/from system bandwidth [MBytes/s],10033.4417,,,,
L3 to/from system data volume [GBytes],1669.2938,,,,
Memory read bandwidth [MBytes/s],9960.9828,,,,
Memory read data volume [GBytes],1657.2386,,,,
Memory write bandwidth [MBytes/s],15.0540,,,,
Memory write data volume [GBytes],2.5046,,,,
Memory bandwidth [MBytes/s],9976.0368,,,,
Memory data volume [GBytes],1659.7432,,,,
