Metric,Core 0,,,,
Runtime (RDTSC) [s],251.4394,,,,
Runtime unhalted [s],287.6356,,,,
Clock [MHz],3082.2508,,,,
CPI,1.4481,,,,
L2 to L1 load bandwidth [MBytes/s],18786.0276,,,,
L2 to L1 load data volume [GBytes],4723.5475,,,,
L1 to L2 evict bandwidth [MBytes/s],9346.6389,,,,
L1 to L2 evict data volume [GBytes],2350.1133,,,,
L1 to/from L2 bandwidth [MBytes/s],28132.6666,,,,
L1 to/from L2 data volume [GBytes],7073.6608,,,,
L3 to L2 load bandwidth [MBytes/s],9286.8029,,,,
L3 to L2 load data volume [GBytes],2335.0682,,,,
L2 to L3 evict bandwidth [MBytes/s],14.4145,,,,
L2 to L3 evict data volume [GBytes],3.6244,,,,
L2 to/from L3 bandwidth [MBytes/s],9301.2174,,,,
L2 to/from L3 data volume [GBytes],2338.6925,,,,
System to L3 bandwidth [MBytes/s],9737.8841,,,,
System to L3 data volume [GBytes],2448.4877,,,,
L3 to system bandwidth [MBytes/s],39.4355,,,,
L3 to system data volume [GBytes],9.9156,,,,
L3 to/from system bandwidth [MBytes/s],9777.3196,,,,
L3 to/from system data volume [GBytes],2458.4034,,,,
Memory read bandwidth [MBytes/s],9479.7113,,,,
Memory read data volume [GBytes],2383.5729,,,,
Memory write bandwidth [MBytes/s],44.8179,,,,
Memory write data volume [GBytes],11.2690,,,,
Memory bandwidth [MBytes/s],9524.5292,,,,
Memory data volume [GBytes],2394.8419,,,,
