Metric,Core 0,,,,
Runtime (RDTSC) [s],294.8557,,,,
Runtime unhalted [s],337.4259,,,,
Clock [MHz],3085.7584,,,,
CPI,1.4447,,,,
L2 to L1 load bandwidth [MBytes/s],18810.6809,,,,
L2 to L1 load data volume [GBytes],5546.4365,,,,
L1 to L2 evict bandwidth [MBytes/s],9372.9873,,,,
L1 to L2 evict data volume [GBytes],2763.6787,,,,
L1 to/from L2 bandwidth [MBytes/s],28183.6681,,,,
L1 to/from L2 data volume [GBytes],8310.1152,,,,
L3 to L2 load bandwidth [MBytes/s],9299.6117,,,,
L3 to L2 load data volume [GBytes],2742.0435,,,,
L2 to L3 evict bandwidth [MBytes/s],14.9719,,,,
L2 to L3 evict data volume [GBytes],4.4146,,,,
L2 to/from L3 bandwidth [MBytes/s],9314.5837,,,,
L2 to/from L3 data volume [GBytes],2746.4581,,,,
System to L3 bandwidth [MBytes/s],9769.0748,,,,
System to L3 data volume [GBytes],2880.4674,,,,
L3 to system bandwidth [MBytes/s],38.0730,,,,
L3 to system data volume [GBytes],11.2260,,,,
L3 to/from system bandwidth [MBytes/s],9807.1478,,,,
L3 to/from system data volume [GBytes],2891.6934,,,,
Memory read bandwidth [MBytes/s],9503.0729,,,,
Memory read data volume [GBytes],2802.0352,,,,
Memory write bandwidth [MBytes/s],43.5503,,,,
Memory write data volume [GBytes],12.8411,,,,
Memory bandwidth [MBytes/s],9546.6232,,,,
Memory data volume [GBytes],2814.8763,,,,
