Metric,Core 0,,,,
Runtime (RDTSC) [s],1.3476,,,,
Runtime unhalted [s],1.6544,,,,
Clock [MHz],3197.6835,,,,
CPI,0.7460,,,,
L2 to L1 load bandwidth [MBytes/s],19166.4522,,,,
L2 to L1 load data volume [GBytes],25.8291,,,,
L1 to L2 evict bandwidth [MBytes/s],21.0485,,,,
L1 to L2 evict data volume [GBytes],0.0284,,,,
L1 to/from L2 bandwidth [MBytes/s],19187.5007,,,,
L1 to/from L2 data volume [GBytes],25.8574,,,,
L3 to L2 load bandwidth [MBytes/s],19170.4510,,,,
L3 to L2 load data volume [GBytes],25.8345,,,,
L2 to L3 evict bandwidth [MBytes/s],1.4182,,,,
L2 to L3 evict data volume [GBytes],0.0019,,,,
L2 to/from L3 bandwidth [MBytes/s],19171.8692,,,,
L2 to/from L3 data volume [GBytes],25.8364,,,,
System to L3 bandwidth [MBytes/s],19183.0172,,,,
System to L3 data volume [GBytes],25.8514,,,,
L3 to system bandwidth [MBytes/s],11.8994,,,,
L3 to system data volume [GBytes],0.0160,,,,
L3 to/from system bandwidth [MBytes/s],19194.9165,,,,
L3 to/from system data volume [GBytes],25.8674,,,,
Memory read bandwidth [MBytes/s],22.2164,,,,
Memory read data volume [GBytes],0.0299,,,,
Memory write bandwidth [MBytes/s],18.6890,,,,
Memory write data volume [GBytes],0.0252,,,,
Memory bandwidth [MBytes/s],40.9054,,,,
Memory data volume [GBytes],0.0551,,,,
