Metric,Core 0,,,,
Runtime (RDTSC) [s],112.4779,,,,
Runtime unhalted [s],135.0861,,,,
Clock [MHz],3192.0691,,,,
CPI,1.4437,,,,
L2 to L1 load bandwidth [MBytes/s],19763.3277,,,,
L2 to L1 load data volume [GBytes],2222.9376,,,,
L1 to L2 evict bandwidth [MBytes/s],9841.0941,,,,
L1 to L2 evict data volume [GBytes],1106.9056,,,,
L1 to/from L2 bandwidth [MBytes/s],29604.4218,,,,
L1 to/from L2 data volume [GBytes],3329.8432,,,,
L3 to L2 load bandwidth [MBytes/s],9766.2364,,,,
L3 to L2 load data volume [GBytes],1098.4858,,,,
L2 to L3 evict bandwidth [MBytes/s],16.4036,,,,
L2 to L3 evict data volume [GBytes],1.8450,,,,
L2 to/from L3 bandwidth [MBytes/s],9782.6400,,,,
L2 to/from L3 data volume [GBytes],1100.3308,,,,
System to L3 bandwidth [MBytes/s],10130.0640,,,,
System to L3 data volume [GBytes],1139.4083,,,,
L3 to system bandwidth [MBytes/s],27.4952,,,,
L3 to system data volume [GBytes],3.0926,,,,
L3 to/from system bandwidth [MBytes/s],10157.5591,,,,
L3 to/from system data volume [GBytes],1142.5009,,,,
Memory read bandwidth [MBytes/s],9932.8005,,,,
Memory read data volume [GBytes],1117.2205,,,,
Memory write bandwidth [MBytes/s],28.7176,,,,
Memory write data volume [GBytes],3.2301,,,,
Memory bandwidth [MBytes/s],9961.5181,,,,
Memory data volume [GBytes],1120.4506,,,,
