Metric,Core 0,,,,
Runtime (RDTSC) [s],345.9251,,,,
Runtime unhalted [s],396.6085,,,,
Clock [MHz],3085.2479,,,,
CPI,1.4563,,,,
L2 to L1 load bandwidth [MBytes/s],18700.9084,,,,
L2 to L1 load data volume [GBytes],6469.1136,,,,
L1 to L2 evict bandwidth [MBytes/s],9317.4574,,,,
L1 to L2 evict data volume [GBytes],3223.1424,,,,
L1 to/from L2 bandwidth [MBytes/s],28018.3658,,,,
L1 to/from L2 data volume [GBytes],9692.2560,,,,
L3 to L2 load bandwidth [MBytes/s],9259.0827,,,,
L3 to L2 load data volume [GBytes],3202.9491,,,,
L2 to L3 evict bandwidth [MBytes/s],14.1445,,,,
L2 to L3 evict data volume [GBytes],4.8929,,,,
L2 to/from L3 bandwidth [MBytes/s],9273.2272,,,,
L2 to/from L3 data volume [GBytes],3207.8421,,,,
System to L3 bandwidth [MBytes/s],9698.7941,,,,
System to L3 data volume [GBytes],3355.0563,,,,
L3 to system bandwidth [MBytes/s],39.4105,,,,
L3 to system data volume [GBytes],13.6331,,,,
L3 to/from system bandwidth [MBytes/s],9738.2046,,,,
L3 to/from system data volume [GBytes],3368.6894,,,,
Memory read bandwidth [MBytes/s],9446.6729,,,,
Memory read data volume [GBytes],3267.8413,,,,
Memory write bandwidth [MBytes/s],44.2890,,,,
Memory write data volume [GBytes],15.3207,,,,
Memory bandwidth [MBytes/s],9490.9619,,,,
Memory data volume [GBytes],3283.1620,,,,
