Metric,Core 0,,,,
Runtime (RDTSC) [s],138.0709,,,,
Runtime unhalted [s],168.5190,,,,
Clock [MHz],3195.8025,,,,
CPI,1.4650,,,,
L2 to L1 load bandwidth [MBytes/s],19778.8562,,,,
L2 to L1 load data volume [GBytes],2730.8845,,,,
L1 to L2 evict bandwidth [MBytes/s],9861.6696,,,,
L1 to L2 evict data volume [GBytes],1361.6096,,,,
L1 to/from L2 bandwidth [MBytes/s],29640.5258,,,,
L1 to/from L2 data volume [GBytes],4092.4941,,,,
L3 to L2 load bandwidth [MBytes/s],9769.8953,,,,
L3 to L2 load data volume [GBytes],1348.9382,,,,
L2 to L3 evict bandwidth [MBytes/s],6.5300,,,,
L2 to L3 evict data volume [GBytes],0.9016,,,,
L2 to/from L3 bandwidth [MBytes/s],9776.4253,,,,
L2 to/from L3 data volume [GBytes],1349.8398,,,,
System to L3 bandwidth [MBytes/s],9995.1018,,,,
System to L3 data volume [GBytes],1380.0327,,,,
L3 to system bandwidth [MBytes/s],10.3821,,,,
L3 to system data volume [GBytes],1.4335,,,,
L3 to/from system bandwidth [MBytes/s],10005.4840,,,,
L3 to/from system data volume [GBytes],1381.4662,,,,
Memory read bandwidth [MBytes/s],9901.1995,,,,
Memory read data volume [GBytes],1367.0675,,,,
Memory write bandwidth [MBytes/s],16.8550,,,,
Memory write data volume [GBytes],2.3272,,,,
Memory bandwidth [MBytes/s],9918.0544,,,,
Memory data volume [GBytes],1369.3947,,,,
