Metric,Core 0,,,,
Runtime (RDTSC) [s],71.0984,,,,
Runtime unhalted [s],87.1723,,,,
Clock [MHz],3197.8177,,,,
CPI,1.4773,,,,
L2 to L1 load bandwidth [MBytes/s],19697.5577,,,,
L2 to L1 load data volume [GBytes],1400.4646,,,,
L1 to L2 evict bandwidth [MBytes/s],9803.2217,,,,
L1 to L2 evict data volume [GBytes],696.9933,,,,
L1 to/from L2 bandwidth [MBytes/s],29500.7794,,,,
L1 to/from L2 data volume [GBytes],2097.4579,,,,
L3 to L2 load bandwidth [MBytes/s],9731.1818,,,,
L3 to L2 load data volume [GBytes],691.8714,,,,
L2 to L3 evict bandwidth [MBytes/s],4.5513,,,,
L2 to L3 evict data volume [GBytes],0.3236,,,,
L2 to/from L3 bandwidth [MBytes/s],9735.7331,,,,
L2 to/from L3 data volume [GBytes],692.1949,,,,
System to L3 bandwidth [MBytes/s],9884.2921,,,,
System to L3 data volume [GBytes],702.7573,,,,
L3 to system bandwidth [MBytes/s],6.6451,,,,
L3 to system data volume [GBytes],0.4725,,,,
L3 to/from system bandwidth [MBytes/s],9890.9372,,,,
L3 to/from system data volume [GBytes],703.2297,,,,
Memory read bandwidth [MBytes/s],9813.1820,,,,
Memory read data volume [GBytes],697.7014,,,,
Memory write bandwidth [MBytes/s],12.9709,,,,
Memory write data volume [GBytes],0.9222,,,,
Memory bandwidth [MBytes/s],9826.1529,,,,
Memory data volume [GBytes],698.6237,,,,
