Metric,Core 0,,,,
Runtime (RDTSC) [s],212.1121,,,,
Runtime unhalted [s],242.1738,,,,
Clock [MHz],3080.2352,,,,
CPI,1.4468,,,,
L2 to L1 load bandwidth [MBytes/s],18742.6992,,,,
L2 to L1 load data volume [GBytes],3975.5533,,,,
L1 to L2 evict bandwidth [MBytes/s],9333.8539,,,,
L1 to L2 evict data volume [GBytes],1979.8234,,,,
L1 to/from L2 bandwidth [MBytes/s],28076.5531,,,,
L1 to/from L2 data volume [GBytes],5955.3766,,,,
L3 to L2 load bandwidth [MBytes/s],9257.8126,,,,
L3 to L2 load data volume [GBytes],1963.6941,,,,
L2 to L3 evict bandwidth [MBytes/s],14.2899,,,,
L2 to L3 evict data volume [GBytes],3.0311,,,,
L2 to/from L3 bandwidth [MBytes/s],9272.1025,,,,
L2 to/from L3 data volume [GBytes],1966.7251,,,,
System to L3 bandwidth [MBytes/s],9744.3207,,,,
System to L3 data volume [GBytes],2066.8883,,,,
L3 to system bandwidth [MBytes/s],40.9401,,,,
L3 to system data volume [GBytes],8.6839,,,,
L3 to/from system bandwidth [MBytes/s],9785.2607,,,,
L3 to/from system data volume [GBytes],2075.5722,,,,
Memory read bandwidth [MBytes/s],9466.6800,,,,
Memory read data volume [GBytes],2007.9974,,,,
Memory write bandwidth [MBytes/s],46.0206,,,,
Memory write data volume [GBytes],9.7615,,,,
Memory bandwidth [MBytes/s],9512.7006,,,,
Memory data volume [GBytes],2017.7589,,,,
